E1260	O prazo de aceitação da versão do leiaute da NFS-e expirou.	versao	Prazo de aceitação da versão do leiaute NFS-e ultrapassado.
E1284	CPF informado para o emitente da NFS-e é inválido (verificar DV).	CPF	Verificar se o CPF informado para o emitente da NFS-e é válido (verificar DV).
E1285	O CPF do emitente não corresponde ao CPF do informado conforme o tipo de emitente informado na DPS.		
E1286	O código do município do emitente da NFS-e difere do código do municipio emissor informado na NFS-e.	cMun	Verificar se o código do município do emitente da NFS-e corresponde ao código do município emissor (cLocEmi) informado na NFS-e.
E1302	Exceto para o campo vLiq, não é permitido informar os demais campos do grupo valores para prestador de serviço optante do simples nacional do tipo MEI.	valores	Exceto para o campo vLiq, não é permitido informar os demais campos do grupo valores quando o prestador é optante do simples nacional do tipo MEI (opSimpNac = 2).
E1303	Exceto para o campo vLiq, não é permitido informar os demais campos do grupo valores quando o campo referente à tributação do ISSQN indicar imunidade, exportação ou não incidência.		
E1307	Exceto para o campo vLiq, não é permitido informar os demais campos do grupo valores quando o prestador de serviço possui algum regime especial de tributação.		
E1311	Exceto para o campo vLiq, não é permitido informar os demais campos do grupo valores quando a exigibilidade da tributação do ISSQN estiver suspensa por decisão judicial ou administrativa.		
E1287	O valor calculado de dedução/redução não corresponde aos valores de (valor do serviço x percentual de dedução/redução), quando pDR é informado na DPS ou ao somatório dos valores do campo vDeducaoReducao, quando um ou mais documentos são informados para dedução/redução da base de cálculo do ISSQN.	vCalcDR	vCalcDR é o valor monetário calculado a partir do percentual de dedução/redução da BC do ISSQN, informado pelo emitente no campo pDR da DPS. Este percentual é calculado sobre valor do serviço 
E1288	O valor calculado do percentual de reduçãõ da base de cálculo por Benefício Municipal não corresponde aos valores de (valor do serviço x percentual de benefício municipal), quando pRedBCBM é informado na DPS.	vCalcBM	vCalcBM é o valor mmonetário calculado a partir do percentual  de BM, que foi informada no campo pRedBCBM da DPS. Neste caso o percentual é aplicado sobre o valor do serviço informado na DPS e o r
E1295	O valor da base cálculo deve ser igual ao valor do serviço menos desconto incondicionado e, valores monetários de dedução/redução e benefício municipal e valores relativos ao fornecimento próprio de bens materiais ou relacionados a operações de terceiros, objeto de reembolso, repasse ou ressarcimento pelo recebedor, informados na NFS-e.	vBC	O valor da base de cálculo do ISSQN (vBC) é calculado a partir de valores informados na NFS-e: \n  \n Valor da BC = Valor do serviço - Desconto incondicionado - Valores monetário de Dedução Re
E1297	O valor BC calculado não pode estar reduzida de forma que resulte para valor do ISSQN a uma alíquota efetiva menor que 2%, exceto para os códigos relativos aos subitens 042201, 042301, 050901, 070201, 070202, 070501 , 070502, 090201, 090202, 100101, 100102, 100103, 100104, 100105, 100201, 100202, 100301, 100401, 100402, 100403, 100501, 100502, 100601, 100701, 100801, 100901, 101001, 150101, 150102, 150103, 150104, 150105, 151001, 151002, 151003, 151004, 151005, 160101, 160102, 160103, 160104, 160201, 170501, 170601, 171001, 171002, 171101, 171102, 171201, 210101, 250301, da lista de serviços nacional do Sistema Nacional NFS-e.		
E1300	Não é permitido informar alíquota aplicada superior a 5%.	pAliqAplic	Não é permitido informar alíquota aplicada superior a 5%.
E1289	O produto do valor da base de cálculo pela alíquota aplicada, ambos informados na NFS-e compartilhada, não está de acordo com o resultado cálculado pelo sistema (vBC x pAliAplic).	vISSQN	O valor do ISSQN informado na NFS-e (vISSQN) deve ser igual ao produto da base de cálculo pela alíquota aplicada (vBC x pAliqAPlic).
E1506	O valor total de tributos retidos da NFS-e não pode ser inferior a zero.	vTotalRet	O valor total da retenção da NFS-e não pode ser inferior a zero. \n  \n O valor total da retenção da NFS-e é calculado a partir de valores que constam na DPS através do seguinte cálculo: \n
E1508	O valor líquido da NFS-e não pode ser inferior a zero.	vLiq	O valor líquido da NFS-e não pode ser inferior a zero. \n  \n O valor líquido da NFS-e é calculado a partir de valores que constam na DPS através do seguinte cálculo: \n  \n Valor líquido (
E1515	É obrigatório informar o grupo de informações de IBS/CBS da NFS-e quando o grupo de informações de IBS/CBS da DPS for informado.	IBSCBS	Se o grupo de informações de IBS/CBS da DPS (NFSe/infNFSe/DPS/infDPS/IBSCBS/) for informado,  \n então o grupo de informações de IBS/CBS da NFS-e deve ser informado obrigatoriamente.
E1517	Não é permitido informar o grupo de informações de IBS/CBS da NFS-e quando o grupo de informações de IBS/CBS da DPS não for informado.		
E1521	Código da localidade de incidência diverge do que deveria ser informado de acordo com a tabela de indicador da operação.	cLocalidadeIncid	O código da localidade de incidência informado deve estar de acordo com o código de indicador da operação. A tabela de indicadores das operações deve ser observada. (Anexo B). Para os casos de 
E1522	O percentual redutor para compras governamentais (IBS/CBS) não deve ser informado.	pRedutor	O percentual redutor para compras governamentais só deve ser informando se tpEnteGov foi informado na DPS.
E1523	O percentual redutor para compras governamentais (IBS/CBS) deve ser informado.		
E1530	Valor da Base de cálculo para IBS/CBS incorreto.	vBC	O valor da base de cálculo do IBS/CBS (vBC) é calculado a partir de valores informados na NFS-e: \n  \n (de 01/01/2026 até 31/12/2026) \n vBC = vServ - descIncond – vCalcReeRepRes – vISSQN �
E1531	O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) não deve ser informado.	vCalcReeRepRes	O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) não deve ser informado se o grupo de documentos r
E1533	O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser informado.		
E1534	O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) deve ser menor que o valor do serviço prestado.		
E1535	O valor objeto de reembolso, repasse ou ressarcimento já tributados que não integram da base de cálculo do ISSQN, do IBS e da CBS (vCalcReeRepRes) incorreto.		
E1539	Alíquota da UF para IBS incorreta.	pIBSUF	A alíquota da UF para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/pIBSUF retornado pela Calculadora
E1540	O percentual redutor de alíquota para o IBS estadual não deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.	pRedAliqUF	O percentual redutor de alíquota para o IBS estadual não deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS não possuir essa indicação.
E1541	O percentual redutor de alíquota para o IBS estadual deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.		
E1543	O percentual redutor de alíquota para o IBS estadual informado difere do indicado para o o código da classificação tributária - cClassTribIBSCBS informado na DPS.		
E1557	Percentual redutor de alíquota para o IBS estadual incorreto.		
E1577	Alíquota efetiva da UF para IBS incorreta.	pAliqEfetUF	A alíquota efetiva da UF para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSUF/gRed/pAliqEfet retornado pela Calculadora
E1578	Alíquota do Município para IBS incorreta.	pIBSMun	A alíquota do Município para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/pIBSMun retornado pela Calculadora
E1545	O percentual redutor de alíquota para o IBS municipal não deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.	pRedAliqMun	O percentual redutor de alíquota para o IBS municipal não deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS não possuir essa indicação.
E1546	O percentual redutor de alíquota para o IBS municipal deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.		
E1547	O percentual redutor de alíquota para o IBS municipal informado difere do indicado para o o código da classificação tributária - cClassTribIBSCBS informado na DPS.		
E1548	Percentual de redução de alíquota municipal incorreto.		
E1549	Alíquota efetiva do Município para IBS incorreta.	pAliqEfetMun	A alíquota efetiva do Município para IBS deve ser igual ao valor IBSCBS/gIBSCBS/gIBSMun/gRed/pAliqEfet retornado pela Calculadora
E1558	Alíquota da União para CBS incorreta.	pCBS	A alíquota da União para CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/pCBS retornado pela Calculadora
E1550	O percentual redutor de alíquota para a CBS não deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.	pRedAliqCBS	O percentual redutor de alíquota para a CBS não deve ser informado se o código da classificação tributária - cClassTribIBSCBS informado na DPS não possuir essa indicação.
E1551	O percentual redutor de alíquota para a CBS deve ser informado para o código da classificação tributária - cClassTribIBSCBS informado na DPS.		
E1552	O percentual redutor de alíquota para a CBS informado difere do indicado para o o código da classificação tributária - cClassTribIBSCBS informado na DPS.		
E1553	Percentual redutor de alíquota para a CBS incorreto.		
E1554	Alíquota efetiva da União para CBS incorreta.	pAliqEfetCBS	A alíquota efetiva da União para CBS deve ser igual ao valor IBSCBS/gIBSCBS/gCBS/gRed/pAliqEfet retornado pela Calculadora
E1555	Valor total da NFS-e está incorreto.	vTotNF	O valor total da NFS-e considerando os impostos por fora (IBS e CBS) é calculado a partir dos valores informados na NFS-e: \n vTotNF = vLiq (em 2026) \n vTotNF = vLiq + vCBS + vIBSTot (a partir de 
E1556	Valor total do IBS incorreto.	vIBSTot	 O valor total do IBS deve ser igual ao valor total/IBSCBSTot/vIBS retornado pela Calculadora
E1560	Grupo crédito presumido para IBS não deve ser informado.	gIBSCredPres	O grupo de crédito presumido para IBS não deve ser informado se o código do crédito presumido - cCredPres não foi informado na DPS.
E1561	Grupo crédito presumido para IBS deve ser informado.		
E1565	Valor do diferimento para o IBS estadual não deve ser informado.	vDifUF	O valor do diferimento para o IBS estadual não deve ser informado se não foi informada, na DPS, a alíquota para o diferimento do IBS estadual - pDifUF.
E1566	Valor do diferimento para o IBS estadual deve ser informado.		
E1567	Valor do diferimento para o IBS estadual incorreto.		
E1568	Valor total do IBS estadual incorreto.	vIBSUF	 O valor total do IBS estadual deve ser igual ao valor total/IBSCBSTot/gIBSUF/vIBSUF retornado pela Calculadora
E1569	Valor do diferimento para o IBS municipal não deve ser informado.	vDifMun	O valor do diferimento para o IBS municipal não deve ser informado se não foi informada, na DPS, a alíquota para o diferimento do IBS municipal - pDifMun.
E1570	Valor do diferimento para o IBS municipal deve ser informado.		
E1571	Valor do diferimento para o IBS municipal incorreto.		
E1572	Valor total do IBS municipal incorreto.	vIBSMun	 O valor total do IBS municipal deve ser igual ao valor total/IBSCBSTot/gIBSMun/vIBSUF retornado pela Calculadora
E1575	Grupo crédito presumido para CBS não deve ser informado.	gCBSCredPres	O grupo de crédito presumido para CBS não deve ser informado se o código do crédito presumido - cCredPres não foi informado na DPS.
E1576	Grupo crédito presumido para CBS deve ser informado.		
E1570	Valor do diferimento para a CBS não deve ser informado.	vDifCBS	O valor do diferimento para a CBS não deve ser informado se foi não informada, na DPS, a alíquota para o diferimento da CBS - pDifCBS.
E1580	Valor do diferimento para a CBS deve ser informado.		
E1581	Valor do diferimento para a CBS incorreto.		
E1582	Valor total da CBS da União incorreto.	vCBS	 O valor total da CBS da União deve ser igual ao valor total/IBSCBSTot/gCBS/vCBS retornado pela Calculadora
E1583	Grupo de tributação regular não deve ser informado para o cClassTribIBSCBS indicado.	gTribRegular	 O grupo de tributação regular não deve ser informado se o indicador para tributação regular (exigeGrupoTributacaoRegular) para o código da classificação tributária - cClassTribIBSCBS for igu
E1584	Grupo de tributação regular deve ser informado para o cClassTribIBSCBS indicado.		
E1585	Alíquota efetiva de tributação regular do IBS estadual incorreta.	pAliqEfeRegIBSUF	 A alíquota efetiva de tributação regular do IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegIBSUF retornado pela Calculadora
E1586	Valor da tributação regular do IBS estadual incorreto.	vTribRegIBSUF	 O valor da tributação regular do IBS estadual deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegIBSUF retornado pela Calculadora
E1587	Alíquota efetiva de tributação regular do IBS municipal incorreta.	pAliqEfeRegIBSMun	 A alíquota efetiva de tributação regular do IBS municipal deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegIBSMun retornado pela Calculadora
E1588	Valor da tributação regular do IBS municipal incorreto.	vTribRegIBSMun	 O valor da tributação regular do IBS municipal deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegIBSMun retornado pela Calculadora
E1589	Alíquota efetiva de tributação regular da CBS incorreta.	pAliqEfeRegCBS	 A alíquota efetiva de tributação regular da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/pAliqEfetRegCBS retornado pela Calculadora
E1590	Valor da tributação regular da CBS incorreto.	vTribRegCBS	 O valor da tributação regular da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribRegular/vTribRegCBS retornado pela Calculadora
E1600	Grupo de compras governamentais não deve ser informando quando o tpEnteGov não foi informado na DPS.	gTribCompraGov	O grupo de tributação para compras governamentais não deve ser informado para essas operações (tpEnteGov não foi informado informado na DPS).
E1601	Grupo de compras governamentais deve ser informando quando o tpEnteGov não foi informado na DPS.		
E1602	Alíquota do IBS de competência do Estado incorreta.	pIBSUF	 A alíquota do IBS de competência do Estado deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqIBSUF retornado pela Calculadora
E1603	Valor do Tributo do IBS da UF incorreto.	vIBSUF	 O valor do Tributo do IBS da UF deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribIBSUF retornado pela Calculadora
E1604	Alíquota do IBS de competência do \n Município incorreta.	pIBSMun	 A alíquota do IBS de competência do \n Município deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqIBSMun retornado pela Calculadora
E1605	Valor do Tributo do IBS do Município incorreto.	vIBSMun	 O valor do Tributo do IBS do Município deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribIBSMun retornado pela Calculadora
E1606	Alíquota da CBS incorreta.	pCBS	 A alíquota da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/pAliqCBS retornado pela Calculadora
E1607	Valor do Tributo da CBS incorreto.	vCBS	 O valor do Tributo da CBS deve ser igual ao valor IBSCBS/gIBSCBS/gTribCompraGov/vTribCBS retornado pela Calculadora
E0001	O prazo de aceitação da versão do leiaute da DPS expirou.	versao	Prazo de aceitação da versão do leiaute DPS ultrapassado.
E0004	Conteúdo do identificador informado na DPS difere da concatenação dos campos correspondentes.	id	O identificador da DPS é formado conforme a concatenação dos seguintes campos: \n "DPS" + Cód.Mun.Emi. + Tipo de Inscrição Federal + Inscrição Federal + Série DPS + Núm. DPS \n  \n Campo 
E0006	Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.	tpAmb	Ambiente informado diverge do ambiente de recebimento para o qual o emitente enviou a DPS.
E0008	A data e hora de emissão da DPS deve ser anterior ou igual à data do seu processamento (dhProc) pelo Sistema Nacional NFS-e.	dhEmi	A data de emissão da DPS deve ser anterior ou igual à data e hora do seu processamento (dhProc) pelo Sistema Nacional NFS-e.
E1294	Prazo para entrega da DF-e excedido.		
E0010	A série informada na DPS não pertence à faixa definida para o tipo de emissor utilizado para a sua emissão.	serie	A série informada na DPS não pertence à faixa definida para o tipo de emissor utilizado para a sua emissão.
E0014	Conjunto de Série, Número, Código do Município Emissor e CNPJ/CPF informado nesta DPS já existe em uma NFS-e gerada a partir de uma DPS enviada anteriormente.		
E0015	A data de competência informada na DPS não pode ser posterior à data de emissão (dhEmi) da DPS.	dCompet	A data de competência informada na DPS deve ser anterior ou igual à data de emissão (dhEmi) da DPS.
E0016	A data de competência deve ser igual ou posterior à data de ativação do convênio do município emissor informado na DPS, exceto quando o emitente for MEI na data de competëncia informada.		
E1270	A data de competência deve ser igual ou posterior à data de ativação do convênio do município emissor informado na DPS.		
E0018	A data de competência informada na DPS deve ser igual ou posterior à data de inscrição do CNPJ do emitente no cadastro CNPJ.		
E0020	A data de competência informada na DPS deve ser igual ou posterior à data de inscrição do CPF do emitente no cadastro CPF.		
E0023	A data de competência informada na DPS deve ser igual ou posterior à data do indicador municipal, registrada no CNC do município correspondente ao município emissor da DPS (cLocEmi).		
E0025	A data de competência informada na DPS deve ser igual ou posterior à data autorizasção de uso do emissores, registrada no CNC do município correspondente ao município emissor da DPS (cLocEmi) para o contribuinte.		
E9996	Nesta versão da aplicação, não é permitida a emissão de NFS-e pelo tomador ou intermediário.	tpEmit	Se a DPS for emitida pelo tomador ou intermendiário (tpEmit = 2 ou 3), então a DPS deve ser rejeitada pelo sistema.
E0029	O motivo da emissão não pode ser preenchido se o emitente for o prestador de serviço.	cMotivoEmisTI	Se o emitente for o prestador de serviço (tpEmit = 1), então este campo não deve ser preenchido.
E0031	Não pode haver retenção do ISSQN pelo tomador quando o município de incidência não for o do tomador.		
E0032	Não pode haver retenção do ISSQN pelo intermediário quando o município de incidência não for o do intermediário.		
E0034	Somente é permitido o preenchimento do campo de chave de acesso de NFS-e rejeitada se o tipo de emitente for Tomador ou Intermediário e o motivo da emissao for por rejeição de NFS-e emitida pelo prestador.	chNFSeRej	Somente é permitido o preencimento deste campo se o emitente da DPS for o Tomador ou Intermediário (tpEmit igual a 2 ou 3) e o motivo da emissão for a rejeição de NFS-e emitida pelo Prestador (cM
E0035	A chave de acesso de NFS-e informada nesta DPS não possui a ela vinculada o evento de manifestação de rejeição emitido pelo mesmo emitente desta DPS.		
E0037	O código do município emissor informado na DPS é inexistente no cadastro de convênio municipal do sistema nacional.	cLocEmi	O código do município emissor informado na DPS deve existir no cadastro de convênio municipal do sistema nacional. \n  \n Exceto quando o emitente da DPS for MEI na data de competência da emiss�
E0038	A situação do convênio do município emissor informado na DPS deve ser "ATIVO" no cadastro de convênio municipal do sistema nacional.		
E0039	O município emissor informado na DPS deve estar parametrizado para utilizar os emissores públicos nacionais, conforme parametrização do município no Sistema Nacional NFS-e.		
E0041	O município emissor não corresponde ao município do emitente MEI no CNPJ.		
E1304	O código do município emissor da NFS-e não existe conforme tabela do IBGE ou difere do código do municipio que está compartilhando o documento com o ADN do Sistema Nacional NFS-e.		
E1272	O código do município informado não existe ou não está ativo no convênio municipal na data de processamento de compartilhamento com o ADN.		
E0042	Chave de NFS-e a ser substituída é inválida.	chSubstda	Chave de NFS-e a ser substituída é inválida. \n  \n 1 - Verificar DV da chave de NFS-e a ser substituída informada nesta DPS; \n 2 - Verificar a correspondência exata dos campos (Cód.Mun. / T
E0044	NFS-e não existe na base de dados do autorizador de NFS-e nacional. Informe uma chave de NFS-e existente.		
E0046	Uma NFS-e cancelada não pode ser substituída. Informe uma chave de NFS-e não cancelada anteriormente.		
E0050	Uma NFS-e não pode ser substituída fora do prazo estabelecido pelo município emissor da NFS-e.		
E0056	NFS-e não pode ser substituída pois não possui identificação do tomador.		
E0058	Não poderá ocorrer a substituição de NFS-e com alteração da identificação do não emitente, conforme parametrização do município emissor da NFS-e.		
E0060	Os campos data de competência, subitem da lista nacional de serviços, código complementar municipal e local da prestação não podem ser alterados quando a opção do simples nacional for Não Optante (opSimpNac = 1).		
E0061	Os campos identificação do Tomador (se identificado na DPS), data de competência (dCompet), e valor do serviço (vServ), não podem ser alterados quando a opção do simples nacional for MEI (opSimpNac = 2) ou ME/EPP (opSimpNac = 3).		
E0065	Não é possível substituição da NFS-e que tenha sido gerada em ambientes geradores diferentes.		
E0068	Não é possível a substituição desta NFS-e pois a mesma possui registro de Evento de Solicitação de Análise Fiscal para Cancelamento de NFS-e aguardando resposta. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.		
E0070	Não é possível a substituição desta NFS-e pois já ocorreu uma manifestação de confirmação de serviço. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.		
E0072	Não é possível a substituição desta NFS-e pois já ocorreu uma manifestação tácita da NFS-e. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.		
E0074	Não é permitido realizar a substituição para NFS-e que possua Evento de Tributos Recolhidos vinculado, conforme parametrização do município de incidência do ISSQN. Para mais informações, consultar a Administração Tributária Municipal do município emissor da NFS-e.		
E0076	Não é permitido realizar a substituição para NFS-e que possua Evento de Bloqueio de Ofício para o Evento de Cancelamento de NFS-e por Substituição vigente.		
E1308	NFS-e a ser substituída não possui um evento de Cancelamento por substituição compartilhado com o ADN e por isso não pode ser substituída.		
E1310	O identificador desta NFS-e substituta não está referenciado no evento de Cancelamento por substituição da NFS-e substituída.		
E0078	Quando o campo cMotivo = 99, o campo xMotivo deve informado obrigatoriamente.	xMotivo	Quando o campo cMotivo = 99, o campo xMotivo deve informado obrigatoriamente.
E0080	CNPJ do prestador informado na DPS é inválido.	CNPJ	CNPJ informado na DPS é inválido (verificar DV).
E0082	CNPJ do emitente prestador não encontrado no cadastro CNPJ na data de competência.		
E0084	CNPJ do emitente prestador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.		
E0096	CPF do prestador informado na DPS é inválido.	CPF	CPF informado na DPS é inválido (verificar DV).
E0098	CPF do emitente prestador não encontrado no cadastro CPF na data de competência.		
E0099	CPF do emitente prestador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme  cadastro nacional complementar NFS-e (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e).		
E0112	O prestador de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.	NIF	Se o campo tpEmit for ígual a 1, então NIF do prestador não pode ser informado.
E0113	O NIF ou cNaoNIF do prestador deve ser informado quando o grupo de informações de endereço no exterior do prestador de serviços foi informado.		
E0114	O prestador de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.		
E0115	Valor 0 para o motivo da não informação do NIF do prestador não é permitido na Sefin do Sistema Nacional NFS-e.		
E0116	A IM deve ser informada para o emitente prestador do serviço na DPS, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.	IM	Se o emitente for o prestador de serviço (tpEmit = 1) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informa
E0119	IM do emitente prestador não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.		
E0120	IM do prestador não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.		
E0124	O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. 		
E0121	O nome ou razão social do prestador não deve ser informado quando o emitente da DPS for o próprio prestador.	xNome	Se o emitente da DPS for o prestador de serviço (tpEmit for igual a 1), então o nome ou razão social não deve ser informado.
E0122	O nome ou razão social do prestador deve ser informado quando o emitente da DPS não for o próprio prestador.		
E0123	O preenchimento do nome empresarial é obrigatório quando o prestador for identificado com NIF.		
E0129	O endereço do prestador deve ser informado na DPS quando o prestador não for o emitente da DPS.	end	Se o emitente da DPS for o tomador ou intermediário (tpEmit = 2 ou 3) o grupo de informações do endereço do prestador de serviço deve ser informado na DPS obrigatoriamente.
E0128	O endereço do prestador do serviço não deve ser informado na DPS quando o próprio prestador for o emitente da DPS.		
E0125	O endereço nacional do prestador do serviço deve ser informado na DPS quando for identificado pelo CNPJ ou CPF e o emitente da DPS for o tomador ou intermediário.	endNac	Se o CNPJ ou CPF do prestador de serviço foi informado e o emitente da DPS for o prestador (tpEmit = 2 ou 3), então o grupo de informações de endereço nacional do prestador do serviço deve ser i
E0130	O código do município para o endereço do prestador do serviço não existe conforme tabela de município do IBGE.	cMun	O código do município para o endereço do prestador do serviço não existe, conforme TAB.MUN_IBGE do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.
E0132	O código do município informado na DPS para o endereço do prestador do serviço, identificado pelo CNPJ, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.		
E0134	O código do município informado na DPS para o endereço do prestador do serviço, identificado pelo CPF, não corresponde ao município registrado em seus cadastros na data de competência informada na DPS.		
E0138	O CEP informado para o endereço nacional do prestador do serviço não existente ou não pertence ao município informado na DPS. Informe um CEP existente e que pertença ao município informado para o endereço do prestador do serviço na DPS.	CEP	O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do prestador do serviço.
